party,state,pc_name,candidate,Sum of total_votes,Sum of total_electors
AIUC,Madhya Pradesh,KHANDWA,RUKUM SHAH,4024,1909055
AIUDF,Assam,Barpeta,AMBAZ UDDIN,394702,1430188
AIUDF,Assam,Barpeta,Rafiqul Islam,248667,1685149
AIUDF,Assam,Dhubri,BADRUDDIN AJMAL,1311333,3408732
AIUDF,Assam,Gauhati,PARAVASTU SATYA GOPINATH DAS,137254,1922270
AIUDF,Assam,Jorhat,FARUK AHMED BHUYAN,7331,1189486
AIUDF,Assam,Kaliabor,BIJOY KUMAR TIRU,231295,1457219
AIUDF,Assam,Karimganj,RADHESHYAM BISWAS,797523,2506170
AIUDF,Assam,Lakhimpur,AINUL HAQUE,37343,1431080
AIUDF,Assam,Mangaldoi,ADHIKARY PARESH CHANDRA,74710,1515676
AIUDF,Assam,Nowgong,DR. KALIDAS PRAKASH VAINGANKAR,314012,1523881
AIUDF,Assam,Silchar,SHABER AHMED,85530,1060175
AIUDF,West Bengal,Balurghat,SADEK ALI,10547,1254497
AIUDF,West Bengal,Basirhat,AMAR CHOWDHURY,25178,1490596
AIUDF,West Bengal,Joynagar,MD. JALALUDDIN MONDAL,13333,1458724
AIUDF,West Bengal,Maldaha Dakshin,DR NAZRUL ISLAM,21207,1347143
AIUDF,West Bengal,Maldaha Uttar,DR. ABDUL LATIF (MIYA JI),4650,1425428
AIUDF,West Bengal,Murshidabad,MD. MATIN,11333,1512098
AIUDF,West Bengal,Raiganj,MEHEDI IQBAL HASAN SAYYED,3471,1387526
AIUDF,West Bengal,Uluberia,MEHEDI IQBAL HASAN SAYYED,5709,1448632
AIUUK,Tamil Nadu,Tiruvannamalai,KALASTHRI S,1999,1473862
AIVP,Tamil Nadu,Chennai central,VALARMATHI. K.,643,1332300
AJKMP,Jammu & Kashmir,Jammu,RAMESH CHANDER KHATKAR,2205,1848155
AJKMP,Jammu & Kashmir,Udhampur,SHAM LAL GANDHIWADI,2187,1469072
AJM,Assam,Kaliabor,Md. Hariqul Islam Bhuyan,5270,1734938
AJM,Assam,Lakhimpur,UBAIDUR RAHMAN,8738,1708013
AJM,Assam,Mangaldoi,AINUL HAQUE,4249,1800237
AJM,Assam,Nowgong,Saiful Islam Choudhury,3421,1794648
AJNSP,Haryana,Karnal,Ishwar Chand Salwan,551,1904193
AJPI,Uttar Pradesh,Azamgarh,Pawan Singh Samrat,1106,1789168
AJPI,Uttar Pradesh,Barabanki,VINOD KUMAR,1622,1816830
AJPI,Uttar Pradesh,Fatehpur Sikri,SATYENDRA BAGHEL,965,1718837
AJPI,Uttar Pradesh,Kaiserganj,Vajid,2036,1805946
AJPI,Uttar Pradesh,Sitapur,Anil Singh,7532,1666126
AJPI,Uttar Pradesh,Sultanpur,MANJU LATA PAL,2148,1775196
AJPI,Uttar Pradesh,Varanasi,HARI BHAI PATEL,1340,1856791
AJPR,Bihar,Gaya (SC),Rajesh Kumar Paswan,11671,1704596
AJPR,Bihar,Khagaria,Madhuvala Devi,8253,1676454
AJPR,Bihar,Supaul,Sanjeet Kumar Choudhary,11093,1690620
AJSUP,Jharkhand,Chatra,NAGMANI,35674,1312562
AJSUP,Jharkhand,Dhanbad,MOHAN,21277,1890021
AJSUP,Jharkhand,Giridih,Chandra Prakash Choudhary,648277,1649413
AJSUP,Jharkhand,Giridih,UMESH DAS,55531,1511644
AJSUP,Jharkhand,Godda,NARAMALLI SIVA PRASAD,10998,1590772
AJSUP,Jharkhand,Hazaribagh,BAIDYANATH PRASAD MAHTO,156186,1518923
AJSUP,Jharkhand,Khunti,ANAND PAUL TIRKEY,27158,1111856
AJSUP,Jharkhand,Kodarma,NAJRUL HASSAN HASHMI,25522,1639645
AJSUP,Jharkhand,Rajmahal,ARJUN,6761,1353467
AJSUP,Jharkhand,Ranchi,SUDESH KUMAR,142560,1648459
AKAKRP,Jammu & Kashmir,Anantnag,MOHAMMAD ISHAQ,1568,1301143
AKBAP,Rajasthan,Ajmer,Dr. RAMLAL MOHBARSHA,1040,1683261
AKBHAD,Bihar,Purvi Champaran,Shekh Seraj,4378,1658672
AKBHAD,Chandigarh,CHANDIGARH,JYOTI,209,646729
AKBHAD,Madhya Pradesh,KHAJURAHO,JAGDESH KUMAR PATEL,4223,1842095
AKBHAD,Madhya Pradesh,REWA,BADRI PRASAD KUSHWAHA,2656,1679534
AKBHAD,Punjab,Firozpur,SUNNY BAWA,1072,1618419
AKBJHP,Jharkhand,Khunti,PARDESHI LAL MUNDA,4841,1111856
AKBJHP,Jharkhand,Ranchi,VISHNU DEV,3411,1648459
AKBJHP,West Bengal,Jhargram,Maheswar Hembram,8484,1641868
AKBJHP,West Bengal,Jhargram,RAMESH PRASAD,8364,1475112
AKBMP,Bihar,Darbhanga,KHAN HEENABEGUM KAMRUDDIN,4558,1495445
AKBMP,Bihar,Madhubani,ANAND KUMAR JHA,10127,1792798
AKBMP,Bihar,Madhubani,HEMA JHA,6663,1627832
AKHP,Maharashtra,Hingoli,Uttam Maroti Dhabe,3907,1733729
AKSP,Uttar Pradesh,Bareilly,JAGPAL SINGH YADAV,2655,1797655
AKSP,Uttar Pradesh,Ghosi,ABUSHAD,4914,1991651
ALHP,Madhya Pradesh,GWALIOR,GEETA,1067,1876965
ALHP,Uttar Pradesh,Akbarpur,BIPIN NATH TIWARI ALIAS BIPIN TIWARI,597,1768635
ALHP,Uttar Pradesh,Chandauli,Mahendra Pratap Singh,1127,1756837
ALHP,Uttar Pradesh,Etawah,KINJARAPU RAM MOHAN NAIDU,1788,1707237
ALHP,Uttar Pradesh,Jalaun,GUNASINGH,2525,1887189
ALHP,Uttar Pradesh,Varanasi,UMESH CHANDRA KATIYAR,637,1856791
ALINLBP,West Bengal,Basirhat,Md. Tabarok Hossain Molla,2707,1678357
ALoP,Maharashtra,Aurangabad,Uttam Dhanu Rathod,2213,1886284
ALoP,Maharashtra,Jalna,Uttam Dhanu Rathod,2643,1867220
AlPP,Andhra Pradesh,Bapatla,THUMATI RAVI,370,1468671
AMB,Jharkhand,Dhanbad,MANTOSH KUMAR MANDAL,5048,3962655
AMB,Jharkhand,Jamshedpur,Angad Mahato,6665,1703279
AMB,Jharkhand,Jamshedpur,VIJAY KUMAR MAHATO,12632,1581665
AMB,Tripura,Tripura East,Karnadhan Chakma,6944,1261861
AMB,Tripura,Tripura East,SUBARNA MALA DEBBARMA,4152,1140276
AMB,Tripura,Tripura West,Prabir Debnath,2764,1352857
AMB,Tripura,Tripura West,RAJ KUMARI,2879,1248546
AMB,West Bengal,Bangaon,TARAPADA BISWAS,2848,1540713
AMB,West Bengal,Barasat,Debasish Biswas,2349,1718252
AMB,West Bengal,Cooch behar,BHOLA RAY,4169,1613403
AMB,West Bengal,Cooch behar,SUBODH BARMAN,1935,1814200
AMB,West Bengal,Darjeeling,NIRANJAN NAYAK,2029,1437154
AMB,West Bengal,Ghatal,GOUTAM KOURI,5547,1610489
AMB,West Bengal,Jalpaiguri,JITENDRA NATH ROY,2835,1531469
AMB,West Bengal,Jalpaiguri,KHUSHI RANJAN MONDAL,2205,1735464
AMB,West Bengal,Jangipur,DHANANJOY BANERJEE,3019,1391656
AMB,West Bengal,Jhargram,MANDAL HANSDA,8478,1475112
AMB,West Bengal,Kolkata Dakshin,JOY BANERJEE,2921,1685296
AMB,West Bengal,Maldaha Uttar,BISHNUPADA BARMAN,4225,1425428
AMB,West Bengal,Medinipur,ASHOK KUMAR YADAV,7881,1499673
AMB,West Bengal,Medinipur,Rabindra Nath Bera,8570,1674236
AMB,West Bengal,Murshidabad,SWAPAN KUMAR MANDAL,4260,1512098
AMB,West Bengal,Purulia,LAXMIKANTA MAHATA,3503,1645884
AMB,West Bengal,Raiganj,ASISH SINGHA,3338,1387526
AMiP,Bihar,Jhanjharpur,Ratneshwar Jha,3548,1852417
AMiP,Bihar,Khagaria,Umesh Chandra Bharti,7763,1676454
AMKP,Karnataka,Dharwad,Raju Harishchandra Kamble,829,1727311
AMP,Uttar Pradesh,Bhadohi,RAJESH KUMAR,1920,1834598
AMPK,Tamil Nadu,Chidambaram,KRISHNARAJ M,4675,1480222
AMPK,Tamil Nadu,Karur,Manoharan M,414,1387286
AMS,Madhya Pradesh,KHARGONE,RAM PRATAP,8544,1703272
AnAP,NCT OF Delhi,NEW DELHI,UPENDRA,1281,1617470
ANC,Andhra Pradesh,Kadapa,Ameen Peeran,573,1570330
ANC,Andhra Pradesh,Nandyal,PULA. NAGAMADDILETY,937,1603220
ANC,Bihar,Karakat,MOHAMMAD ATAHAR HUSAIN,12431,1771254
ANC,Chandigarh,CHANDIGARH,MUKESH PACHARA,245,646729
ANC,Gujarat,Ahmedabad East,Kadri Mohammad Sabir,628,1811851
ANC,Gujarat,Kheda,Pathan Ayashabanu,2176,1804028
ANC,Jharkhand,Palamau,BALKESH PRASAD PASWAN,4121,1881441
ANC,Karnataka,Bidar,RAMESH,1976,1600962
ANC,Karnataka,Chitradurga,H.SIDDAGANGAPPA,2951,1661277
ANC,Maharashtra,Aurangabad,Habib Gayas Shaikh,1503,1886284
ANC,Maharashtra,Aurangabad,VIJAY JADHAV,1038,1589395
ANC,Maharashtra,Jalna,SANJAY PASWAN,1821,1612056
ANC,Maharashtra,Mumbai North central,MEHEDI IQBAL HASAN SAYYED,261,1679891
ANC,Maharashtra,Nanded,Abdul Raees Ahemad S/o Abdul Jabbar,4147,1719322
ANC,Maharashtra,Parbhani,ASHOK KUMAR YADAV,1869,1803792
ANC,Maharashtra,Parbhani,SUBHASH ASHOKRAO AMBHORE (DUDHAGAONKAR),1473,1985228
ANC,NCT OF Delhi,EAST DELHI,RAJESH,422,1829578
ANC,NCT OF Delhi,NORTH EAST DELHI,PRADESH KUMAR,489,1957708
ANC,NCT OF Delhi,NORTH EAST DELHI,SUNIL VISHVAKARMA,2148,2290492
ANC,Odisha,Balasore,MOHAMMED ALLI,1356,1531781
ANC,Odisha,Sambalpur,SANTOSHINI KARNA,5197,1468530
ANC,Punjab,Jalandhar,Urmilla,1340,1617018
ANC,Punjab,Ludhiana,BINTU KUMAR TAANK ( B.K. TAANK),1060,1683325
ANC,Telangana,Bhongir,Kotha Kistaiah,1648,1628033
ANC,Telangana,CHEVELLA,Gurram Papi Reddy,607,2443112
ANC,Telangana,Kadapa,B. JAYA VENU GOPAL,2565,1550440
ANC,Telangana,Mahbubnagar,IMRAN AHMED KHAN,4462,1506102
ANC,Telangana,Nalgonda,SOLIPURAM VENUGOPAL REDDY,1124,1585980
ANC,Telangana,Zahirabad,MOHAMMED NAWAZ,1712,1498666
ANC,Uttar Pradesh,Bahraich,YALLA VENKATA RAMA MOHAN RAO (DORABABU),4026,1638640
ANC,Uttarakhand,Nainital-udhamsingh Nagar,SHEESHPALARYA,2706,1610811
ANIJP,Uttar Pradesh,Jaunpur,VINOD KUMAR,2017,1867976
ANNADATA,Uttar Pradesh,Allahabad,Shiv Dutt Shukla,5147,1716160
ANRP,Madhya Pradesh,TIKAMGARH,N.R. Prajapati,2360,1647399
ANSP,Madhya Pradesh,CHHINDWARA,RAJESH TANTRIK,1424,1514783
APCP,Bihar,Nalanda,SHAILESH KUMAR,15370,1951967
APEP,Tamil Nadu,Mayiladuthurai,HABEEB MOHAMED. U,892,1484842
APEP,Tamil Nadu,Vellore,V.SEKAR,476,1438643
APKSP,Bihar,Pataliputra,SHIV KUMAR SINGH,8354,1925479
APM,Tamil Nadu,Chennai South,R. K. Singh,372,1795776
APoI,Andhra Pradesh,Rajahmundry,GEDDAM DAVID NELSON BABU,1757,1534256
APoI,Bihar,Gaya (SC),Sheo Shankar,20464,1704596
APoI,Bihar,Sasaram (SC),SATYA NARAYAN RAM,4770,1787878
APoI,Chhattisgarh,BASTAR,PANEESH PRASAD NAG,12421,1379122
APoI,Chhattisgarh,BILASPUR,EG. RAMFAL MANDREY,2482,1876953
APoI,Chhattisgarh,DURG,MALIK RAM THAKUR,1982,1940269
APoI,Chhattisgarh,JANJGIR-CHAMPA,SEEMA AJAY,7831,1897134
APoI,Chhattisgarh,KANKER,DURGAPRASAD THAKUR,6103,1558952
APoI,Chhattisgarh,KORBA,CHANDRA BHUSHAN KANWAR ADHIVAKTA L L M,3965,1508840
APoI,Chhattisgarh,MAHASAMUND,ASHOK SONI,7733,1637951
APoI,Chhattisgarh,RAIGARH,RAVISHANKAR SIDAR,4006,1733805
APoI,Chhattisgarh,RAIPUR,Ikram Saifi,1495,2111738
APoI,Chhattisgarh,RAJNANDGAON,BAIDYA SHEKHU RAM VERMA (GURUJI),4297,1716459
APoI,Chhattisgarh,SARGUJA,Guman Singh Poya,5388,1655239
APoI,Gujarat,Ahmedabad West,VEDUBHAI KAUTIKBHAI SIRASAT,1055,1643317
APoI,Himachal Pradesh,Mandi,RAJENDER SURYAVANSHI,1872,1281462
APoI,Jharkhand,Dhanbad,MIHIR CHANDRA MAHATO,3004,2072634
APoI,Jharkhand,Jamshedpur,Subrat Kumar Pradhan,4850,1703279
APoI,Jharkhand,Ranchi,SUNITA MUNDA,6667,1915959
APoI,Jharkhand,Singhbhum,PRATAP SINGH BANARA,11298,1269917
APoI,Karnataka,Bidar,DAYANAND GODBOLE,3635,1775095
APoI,Kerala,Alappuzha,A. AKHILESH,1782,1356701
APoI,Kerala,Ernakulam,RAJEEV NAGAN,821,1245972
APoI,Kerala,Pathanamthitta,JOSE GEORGE,1355,1382741
APoI,Madhya Pradesh,BALAGHAT,MUKESH BANSOD,4076,1767725
APoI,Madhya Pradesh,BHIND,DILEEP KUMAR DOHARE (ADVOCAT),2929,1765334
APoI,Madhya Pradesh,BHOPAL,GAUTAM NAGDAVANE,856,2142861
APoI,Madhya Pradesh,CHHINDWARA,RAMESH PATIL,2872,1402038
APoI,Madhya Pradesh,GUNA,AMIT KHARE,4480,1675724
APoI,Madhya Pradesh,GWALIOR,NARAYAN NAMDEV,2279,2000744
APoI,Madhya Pradesh,HOSHANGABAD,DINESH KATARE,7833,1706141
APoI,Madhya Pradesh,JABALPUR,RATTAN LAL,4261,1711621
APoI,Madhya Pradesh,KHAJURAHO,DESH PAL PATEL,5884,1842095
APoI,Madhya Pradesh,MANDLA,DINESH SINGH UIKEY,11930,1824702
APoI,Madhya Pradesh,RAJGARH,PARVAT SINGH,4086,1694329
APoI,Maharashtra,Amravati,JYOTI,3724,1612739
APoI,Maharashtra,Amravati,Nilesh Anandrao Patil,1229,1833091
APoI,Maharashtra,Beed,MILIND KAMBLE,1733,1792652
APoI,Maharashtra,Beed,Shinde Chandraparkash Ganpatrao,1582,2045405
APoI,Maharashtra,Bhandara - gondiya,MUKESH BANSOD,1429,1655852
APoI,Maharashtra,Buldhana,RAVI,2448,1595435
APoI,Maharashtra,Chandrapur,NANDKISHOR SHAU,4850,1753690
APoI,Maharashtra,Chandrapur,Nitesh Anandrao Dongre,4701,1910188
APoI,Maharashtra,Gadchiroli-Chimur,DEORAO MONBA NANNAWARE,22723,3049803
APoI,Maharashtra,Jalna,VITTHAL SAHEBRAO SHELKE,4587,1612056
APoI,Maharashtra,Kalyan,Santosh Bhikaji Bhalerao,1081,1965676
APoI,Maharashtra,Kalyan,SUDHAKAR NARAYAN SHINDE,726,1922034
APoI,Maharashtra,Latur,BHARAT,2724,1686957
APoI,Maharashtra,Maval,JAYA SANJAY PATIL,2328,2298080
APoI,Maharashtra,Mumbai   South,Irfan Shaikh,1391,1554176
APoI,Maharashtra,Mumbai North,ARJUN,1650,1783870
APoI,Maharashtra,Mumbai North East,Dandge Sukhdev Chandu,711,1588693
APoI,Maharashtra,Mumbai South central,Deepak Bhagoji Kamble,1155,1440380
APoI,Maharashtra,Mumbai South central,SANGHAPAL HIRACHAND GADEKAR,919,1447886
APoI,Maharashtra,Nagpur,ADV. VIJAYA DILIP BAGDE,1182,2161096
APoI,Maharashtra,Nagpur,DR. TITUS BHENGRA,1366,1900784
APoI,Maharashtra,Palghar,Devram Zipar Kurkute,8213,1885600
APoI,Maharashtra,Pune,Prof. Nalawade Hanmant Mahadeo,383,2075824
APoI,Maharashtra,Ramtek,BHUMA KISHOR REDDY,3634,1677266
APoI,Maharashtra,Ramtek,Dhiman Vinod Bhivaji Patil,2779,1922764
APoI,Maharashtra,Raver,Adakmol Rohidas Ramesh,1679,1775051
APoI,Maharashtra,Thane,RAJENDRA MARUTI KATE (PATIL),905,2073251
APoI,Maharashtra,Thane,SUDHAKAR NARAYAN SHINDE,1038,2370903
APoI,Maharashtra,Wardha,Ganesh Kisanrao Lade,6124,1743283
APoI,Odisha,Bolangir,DINESH NAG,13919,1744446
APoI,Odisha,Dhenkanal,BIJAYA KUMAR BEHERA,4742,1504403
APoI,Odisha,Jagatsinghpur,PEEYUUSH DAS,1751,1643595
APoI,Odisha,Kalahandi,CHHABILAL NIAL,12409,1611056
APoI,Odisha,Koraput,BANAMALI MAJHI,18849,1434384
APoI,Odisha,Sambalpur,BINAY OCEAN,6581,1468530
APoI,Punjab,Anandpur Sahib,Kulwinder Kaur,1929,1698876
APoI,Punjab,Fatehgarh Sahib,RAM SINGH RAISAL,1939,1502861
APoI,Punjab,Ludhiana,DILDAR SINGH,1254,1683325
APoI,Punjab,Patiala,Harpal Singh,2439,1739600
APoI,Rajasthan,Ajmer,Vishram Babu,13041,1876346
APoI,Rajasthan,Alwar,Amit Jangir,1601,1888524
APoI,Rajasthan,Alwar,KUMAR,3612,1626442
APoI,Rajasthan,BHARATPUR,MANGAL RAM GODRA,5715,1943794
APoI,Rajasthan,Bikaner (SC),GHANSHYAM MEGHWAL,3752,1851628
APoI,Rajasthan,Chittorgarh,Jai Prakash Regar,4233,2015911
APoI,Rajasthan,Churu,SATYAPAL BAUDDH,3080,2019104
APoI,Rajasthan,Dausa,Ramphool Meena,4999,1730289
APoI,Rajasthan,Jaipur,Kailash Chand Jagarwal,884,2127021
APoI,Rajasthan,Jaipur,KANUMURU RAGHU RAMA KRISHNA RAJU,1899,1957820
APoI,Rajasthan,Jaipur Rural,BETA MAM CHAND RATTUWALA,3047,1700307
APoI,Rajasthan,Jaipur Rural,RAJENDRA KUMAR,3800,1952542
APoI,Rajasthan,Jalore,RAMPRASAD JATAV,3879,2071244
APoI,Rajasthan,KARAULI-DHOLPUR,JEET RAM BAIRWA,7020,1810574
APoI,Rajasthan,Pali,RAMPRASAD JATAV,6244,2161663
APoI,Rajasthan,Rajsamand,Chandra Prakash Tanwar,12887,1912911
APoI,Rajasthan,TONK-SAWAI MADHOPUR,Naresh Kumar Atal,5382,1945992
APoI,Rajasthan,Udaipur,HARJI LAL MEENA,11855,2069559
APoI,Tamil Nadu,Arakkonam,M. SAVITHA,4498,1500016
APoI,Telangana,Adilabad,Bheemrao,6837,1489790
APoI,Tripura,Tripura West,Jayki Murasing,7133,1352857
APoI,West Bengal,Raiganj,LAKSHMAN MURMU,3269,1601220
APRSSP,Telangana,CHELVELLA,SUTHARAPU PADMAIAH,2214,2185164
APRSSP,Telangana,Malkajgiri,SUTHARAPU PADMAIAH,529,3183083
ARK,Madhya Pradesh,MORENA,RAJESH SINGH BHADORIA [BHURE],933,1837723
ARK,NCT OF Delhi,NEW DELHI,LAL JI,307,1617470
ARK,NCT OF Delhi,WEST DELHI,JANAK RAJ RANA,329,2371644
ARK,Uttar Pradesh,Amethi,Pankaj Ramkumar Sing,1057,1743515
ARP,Maharashtra,Amravati,Gade Vinod Milind,1211,1833091
ARP,Maharashtra,Beed,ASHOK BAITHA,1162,1792652
ARP,Maharashtra,Buldhana,PARMESHWAR MAHTO,6983,1595435
ARP,Maharashtra,Wardha,Gadhave Pravin Rameshwarrao,3188,1743283
ARP,Maharashtra,Wardha,UBALE SHRIKRUSHNA CHAMPATRAO,6405,1564552
ARP,Maharashtra,Yavatmal-Washim,RAGHUNATH MAHLI,1911,1755292
ARPS,Andhra Pradesh,Tirupati,M. Solomon,1563,1650453
ARPS,Telangana,Nellore,CHEMIKALA TIRUPATI,1424,1606127
ARPS,Telangana,Tirupati,M V V SATYANARAYANA,9815,1574161
ARPS,Telangana,Vijayawada,MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),803,1564513
ARVP,Uttar Pradesh,Ambedkar Nagar,KUMAR,2590,1718774
ARVP,Uttar Pradesh,Amroha,BRAJPAL SINGH,478,1544245
ARVP,Uttar Pradesh,Deoria,GIRIRAJ KISHOR (RAJU) PODDAR,1153,1806926
ARVP,Uttar Pradesh,Farrukhabad,UMA SHANKAR KHARAWAR,1864,1613781
ARVP,Uttar Pradesh,Ghazipur,DEV RAJ BHARDWAJ,4019,1801519
ARVP,Uttar Pradesh,Machhlishahr,GAUTAM,1467,1891969
ARVP,Uttar Pradesh,Saharanpur,RAJENDRA KUMAR,466,1608833
ARWP,Uttar Pradesh,Jhansi,CHINTAMANI,2029,1932052
ASaP,Uttar Pradesh,Barabanki,Tarawati,1921,1816830
ASaP,Uttar Pradesh,Lucknow,Ram Sagar Pal,1251,2040367
ASaP,Uttar Pradesh,Mohanlalganj,MAHENDRA KUMAR,1617,1838194
ASaP,Uttar Pradesh,Sitapur,MAHENDRA KUMAR,2332,1666126
ASDC,Assam,Autonomous District,HOLIRAM TERANG,36915,795945
ASDHP,Bihar,Karakat,PRITHVI NATH PRASAD,1695,1771254
ASDHP,Bihar,Madhepura,Suresh Kumar Bharti,4731,1884883
ASDHP,Bihar,Patna Sahib,AKHILESH KUMAR,3766,2146008
ASDHP,Bihar,Purvi Champaran,Randhir Kumar Tiwari,1406,1658672
asdp,Karnataka,Chamarajanagar,KATHAVARAY,1949,1555781
ASGP,Uttar Pradesh,Mohanlalganj,SUSHIL KUMAR,4283,2023431
ASJP,Punjab,Faridkot,Dr. Swarn Singh,3678,1541971
ASP,Jammu & Kashmir,Anantnag,MOHD AYUB,3286,1301143
ASP,Karnataka,Chikkballapur,S.R.Nageshareddy,3550,1808780
ASP,Karnataka,Chitradurga,NIRANJANA A D CHEELANGI,7773,1760633
ASP,Karnataka,Kolar,ASHOK CHAKRAVARTHI M.B,7085,1629961
ASP,Karnataka,Tumkur,MAHALAKSHMI C. P.,4211,1608545
ASP,Maharashtra,Bhandara - gondiya,RANJEET SINGH,987,1655852
ASP,Uttar Pradesh,Banda,SHIRAZ RAHAT KHAN,7873,1702024
ASP,Uttar Pradesh,Bansgaon,RAMESH PRASAD,9769,1760090
ASP,Uttar Pradesh,Etawah,KUMAR,4954,1707237
ASP,Uttar Pradesh,Ghosi,GEETA,1367,1991651
ASP,Uttar Pradesh,Hamirpur,ANIL KUMAR,4860,1737993
ASP,Uttar Pradesh,Nagina,TEJ SINGH,4014,3079536
ASP,Uttar Pradesh,Saharanpur,SHIV KUMAR,1888,1608833
ASP,Uttar Pradesh,Sambhal,SHAHLA WAJID,1048,1828764
ATBP,NCT OF Delhi,CHANDNI CHOWK,MOHAN,1553,1447230
ATBP,NCT OF Delhi,NEW DELHI,SWADESH KUMAR OHRI,1223,3107617
ATBP,Uttar Pradesh,Chandauli,Arjun Pandey,4096,1756837
AVIRP,Haryana,Faridabad,DEEPAK GAUR,950,3812168
AVIRP,Madhya Pradesh,JABALPUR,CHANDRA PRAKASH BHATNAGAR,780,1819893
AVIRP,Madhya Pradesh,REWA,SUNIT PANDEY 'SUMIT',5555,1679534
AVIRP,Rajasthan,Kota,MAHESH KUMAR RANIWAL,1901,3692549
AVIRP,Rajasthan,Nagaur,AMICHAND,4372,1678660
AVVP,Chhattisgarh,BILASPUR,SANDEEP SINGH PORTE,2201,1876953
AVVP,Madhya Pradesh,REWA,BABULAL KOL,1325,1679534
AwVP,Maharashtra,Dhule,MAHEMOOD BHAIJAAN,792,1675367
AwVP,Maharashtra,Hingoli,SANTOSH,1526,1586194
AwVP,Maharashtra,Mumbai   South,AHMED ALI KHAN,917,1485844
AwVP,Maharashtra,Mumbai North central,NIYAZ AHMED,512,1737084
AYP,Uttar Pradesh,Phulpur,Kamala Prasad,921,2010477
AYSRCP,Andhra Pradesh,Kadapa,Anna Siva Chandra Reddy,1422,1570330
AYSRCP,Andhra Pradesh,Nandyal,D. P. JAMAL BASHA.,4089,1603220
BA S D,Madhya Pradesh,BHIND,PHOOLSINGH BARAIYA,20403,1600137
BA S D,Madhya Pradesh,DEWAS,MUNNA SINGH,4659,1617111
BA S D,Madhya Pradesh,MANDSOUR,RATTAN LAL,3501,1626556
BA S D,Madhya Pradesh,SIDHI,SUNIL,6627,1736048
BA S D,Madhya Pradesh,UJJAIN,ANIL,4439,1525481
BA S D,Punjab,Anandpur Sahib,RESHAM KAHLON,837,1564721
BA S D,Rajasthan,Bhilwara,SHYAM KUMAR,5684,1754901
BA S D,Rajasthan,Churu,SHUKUR ALI,2313,1753825
BA S D,Rajasthan,Nagaur,HARIRAM MEHRADA,11352,1678660
BAAP,Maharashtra,Kalyan,MILIND KAMBLE,798,1965676
BAAP,Maharashtra,Mumbai North central,MILIND (ANNA) KAMBLE,488,1679891
BAAP,Maharashtra,Mumbai North West,Arora Surinder Mohan,1180,1732263
BAAP,Maharashtra,Thane,AJAY BABURAM GUPTA,1453,2370903
BAEP,Uttar Pradesh,Deoria,ISRAR AHAMAD,8164,1754195
BaHaP,Uttar Pradesh,Moradabad,DILERAM,1886,1958939
BAHUMP,Andhra Pradesh,Machilipatnam,YARLAGADDA RAMA MOHANA RAO,1017,1473347
BAHUMP,Gujarat,Porbandar,VAKIL VINZUDA RANJITBHAI NARANBHAI,713,1662368
BAHUMP,Haryana,Sonipat,SANT DHARAMVEER CHOTIWALA,357,1592611
BAHUMP,Karnataka,Bangalore North,Ahmed Khan,1028,2849250
BAHUMP,Karnataka,Bidar,MD MERAJUDDIN,1000,1775095
BAHUMP,Madhya Pradesh,MANDSOUR,Ismail Mev,7760,1760875
BAHUMP,Maharashtra,Amravati,Athawale Sanjay Hiramanji,1522,1833091
BAHUMP,Maharashtra,Aurangabad,Nadim Rana,1210,1886284
BAHUMP,Maharashtra,Dhule,Pinjari Jainuddin Husain,789,1908173
BAHUMP,Maharashtra,Hatkanangle,Raju Mujikrao Shetty,8103,1776555
BAHUMP,Maharashtra,Hingoli,Subhash Parasram Wankhede,2375,1733729
BAHUMP,Maharashtra,Kalyan,MOHAMMED AHMED KHAN (AHMED NETA),1031,1965676
BAHUMP,Maharashtra,Madha,Shahajahan Paigambar Shaikh,4814,1909574
BAHUMP,Maharashtra,Mumbai North East,Adv. Ganesh Iyer,1336,1588693
BAHUMP,Maharashtra,Parbhani,SHAIKH SALIM SHAIKH IBRAHIM,6128,1985228
BAHUMP,Maharashtra,Pune,Sim Khirid,487,2075824
BAHUMP,Maharashtra,Raigad,Sandip Pandurang Parte,1482,1652965
BAHUMP,Maharashtra,Solapur,KRISHNA NAGNATH BHISE,2053,1851654
BAHUMP,Maharashtra,Thane,USMAN MOOSA SHAIKH,2098,2370903
BAHUMP,Uttar Pradesh,Meerut,AFZAL,882,1892931
BaJD,Uttar Pradesh,Meerut,DHARMENDRA,489,1892931
BALP,Bihar,Madhepura,Rajiv Kumar Yadav,4735,1884883
BALP,Bihar,Ujiarpur,Lalan Kumar Roy,7535,1612300
BALP,Maharashtra,Dhule,Anil Ramdas Jadhaav,1271,1908173
BALP,Maharashtra,Kolhapur,Kisan Keraba Katkar,1902,1880496
BALP,Maharashtra,Sangli,Anand Shankar Nalage (Patil),7213,1809109
BALP,Maharashtra,Shirur,Ghare Mohan Damodar,997,2175529
BALP,Uttar Pradesh,Phulpur,Srichandra Kesarwani (Advocate),1262,2010477
BARESP,Gujarat,Bardoli,GAMIT MOHANBHAI BABUBHAI,1692,1826526
BARESP,Maharashtra,Aurangabad,Arvind Kisanrao Kamble,2779,1886284
BARESP,Maharashtra,Beed,Sadek Muniroddin Shaikh,677,2045405
BARESP,Maharashtra,Bhiwandi,ANSARI MUMTAZ ABDULSATTAR,3240,1890100
