party,per_14,per_19
NULL,0.11%,0.00%
NULL,0.11%,0.00%
MNDP,0.11%,0.10%
NULL,0.11%,0.00%
NULL,0.11%,0.00%
RVNP,0.11%,0.61%
NULL,0.11%,0.00%
NULL,0.11%,0.00%
NULL,0.11%,0.00%
NULL,0.10%,0.00%
NULL,0.10%,0.00%
ssrd,0.10%,0.06%
NULL,0.10%,0.00%
PRCP,0.10%,0.14%
NULL,0.10%,0.00%
NULL,0.10%,0.00%
NULL,0.10%,0.00%
NULL,0.10%,0.00%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
NPT,0.09%,0.04%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
PLP,0.09%,0.04%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
ASaP,0.09%,0.10%
ADPT,0.09%,0.17%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
BNIP,0.09%,0.06%
HND,0.09%,0.14%
NULL,0.09%,0.00%
NULL,0.09%,0.00%
MMKA,0.08%,0.16%
RVLP,0.08%,0.23%
NULL,0.08%,0.00%
ALHP,0.08%,0.05%
NULL,0.08%,0.00%
NULL,0.08%,0.00%
aicp,0.08%,0.10%
PHRC,0.08%,0.30%
NULL,0.08%,0.00%
NULL,0.08%,0.00%
NULL,0.08%,0.00%
NULL,0.08%,0.00%
DPPS,0.08%,0.02%
UMK,0.08%,0.10%
RtrJP,0.08%,0.05%
NULL,0.08%,0.00%
NULL,0.08%,0.00%
NULL,0.08%,0.00%
NULL,0.08%,0.00%
NULL,0.08%,0.00%
NULL,0.07%,0.00%
kajp,0.07%,0.07%
RBS,0.07%,0.11%
ATBP,0.07%,0.14%
NULL,0.07%,0.00%
BHBP,0.07%,0.05%
NULL,0.07%,0.00%
NULL,0.07%,0.00%
NULL,0.07%,0.00%
NULL,0.07%,0.00%
RPC(S),0.07%,0.06%
IPGP,0.07%,0.25%
NULL,0.07%,0.00%
NULL,0.07%,0.00%
NULL,0.07%,0.00%
NULL,0.07%,0.00%
ABMP,0.07%,0.02%
NULL,0.06%,0.00%
NULL,0.06%,0.00%
NULL,0.06%,0.00%
RSOSP,0.06%,0.24%
NULL,0.06%,0.00%
NULL,0.06%,0.00%
JanSP,0.06%,0.16%
NULL,0.06%,0.00%
VoP,0.06%,0.06%
NULL,0.06%,0.00%
NULL,0.06%,0.00%
NULL,0.06%,0.00%
BKrD,0.06%,0.06%
NULL,0.06%,0.00%
